emp_no,title,from_date,to_date
229606,Staff,1988-08-24,1993-08-24
229613,Engineer,1988-08-11,1995-08-12
229613,Senior Engineer,1995-08-12,9999-01-01
229630,Engineer,1995-06-18,2001-06-17
229630,Senior Engineer,2001-06-17,9999-01-01
229642,Engineer,1996-02-25,9999-01-01
229656,Engineer,1985-06-02,1994-06-02
229656,Senior Engineer,1994-06-02,9999-01-01
229659,Engineer,1992-02-22,1999-02-22
229659,Senior Engineer,1999-02-22,9999-01-01
229680,Engineer,1998-01-13,9999-01-01
229684,Technique Leader,1988-12-24,9999-01-01
229689,Technique Leader,1996-08-09,9999-01-01
229710,Senior Staff,1987-04-05,9999-01-01
229711,Engineer,1989-06-18,1997-06-18
229711,Senior Engineer,1997-06-18,9999-01-01
229734,Staff,1986-01-07,1991-04-11
229761,Senior Staff,1995-12-23,9999-01-01
229761,Staff,1988-12-22,1995-12-23
229762,Assistant Engineer,1993-06-03,1997-08-31
229795,Senior Staff,1992-12-26,9999-01-01
229795,Staff,1987-12-27,1992-12-26
229802,Senior Engineer,1990-05-08,9999-01-01
229805,Senior Staff,1999-10-24,9999-01-01
229828,Senior Staff,2000-06-03,9999-01-01
229828,Staff,1995-06-04,2000-06-03
229829,Senior Staff,1995-10-03,9999-01-01
229829,Staff,1990-10-03,1995-10-03
229830,Engineer,1993-08-08,1999-08-08
229830,Senior Engineer,1999-08-08,9999-01-01
229843,Senior Staff,1995-06-05,9999-01-01
229843,Staff,1986-06-05,1995-06-05
229846,Senior Engineer,1999-06-10,9999-01-01
229849,Senior Staff,2000-07-19,9999-01-01
229849,Staff,1995-07-20,2000-07-19
229861,Engineer,1998-10-10,9999-01-01
229890,Senior Engineer,1991-05-01,1998-12-19
229923,Engineer,1990-05-20,1996-05-19
229923,Senior Engineer,1996-05-19,2001-07-06
229945,Engineer,1986-01-27,1991-02-08
229953,Engineer,1985-02-26,1993-02-26
229953,Senior Engineer,1993-02-26,9999-01-01
229957,Technique Leader,1990-07-24,9999-01-01
229962,Senior Staff,1985-09-06,9999-01-01
229964,Staff,1995-05-30,2000-12-22
229969,Senior Staff,1994-06-22,9999-01-01
229969,Staff,1987-06-22,1994-06-22
229972,Engineer,1999-10-01,9999-01-01
230000,Engineer,1999-01-04,9999-01-01
230019,Engineer,1987-02-13,1992-02-13
230019,Senior Engineer,1992-02-13,9999-01-01
230029,Engineer,1987-05-27,1996-05-26
230029,Senior Engineer,1996-05-26,9999-01-01
230030,Staff,1999-07-17,2000-12-23
230032,Staff,1999-02-20,9999-01-01
230042,Senior Staff,2001-03-29,9999-01-01
230042,Staff,1994-03-29,2001-03-29
230054,Staff,1988-08-05,1989-11-04
230059,Senior Staff,1993-07-26,1995-12-11
230059,Staff,1986-07-26,1993-07-26
230060,Senior Staff,1995-05-10,9999-01-01
230101,Engineer,1997-07-28,2002-07-28
230101,Senior Engineer,2002-07-28,9999-01-01
230104,Engineer,1992-01-08,1998-01-07
230104,Senior Engineer,1998-01-07,9999-01-01
230112,Senior Staff,1991-08-06,9999-01-01
230112,Staff,1986-08-06,1991-08-06
230124,Senior Staff,1993-08-12,9999-01-01
230124,Staff,1988-08-12,1993-08-12
230129,Staff,1998-01-30,9999-01-01
230136,Senior Staff,1997-05-08,2000-07-03
230136,Staff,1988-05-08,1997-05-08
230138,Senior Staff,1994-10-23,9999-01-01
230138,Staff,1988-10-23,1994-10-23
230144,Engineer,1998-10-30,9999-01-01
230151,Senior Engineer,1990-02-09,1997-10-08
230175,Engineer,1992-04-04,1996-01-14
230190,Staff,1998-04-07,9999-01-01
230198,Engineer,1995-07-25,2002-07-25
230198,Senior Engineer,2002-07-25,9999-01-01
230231,Staff,1994-09-27,9999-01-01
230253,Senior Engineer,1992-07-05,2002-07-24
230272,Senior Staff,1993-12-21,2002-03-02
230272,Staff,1985-12-21,1993-12-21
230275,Engineer,1989-07-26,1996-07-26
230275,Senior Engineer,1996-07-26,1996-10-12
230281,Assistant Engineer,1995-09-27,2000-09-26
230281,Engineer,2000-09-26,9999-01-01
230283,Staff,1987-03-17,1987-06-22
230296,Engineer,1988-02-06,1994-02-05
230296,Senior Engineer,1994-02-05,9999-01-01
230315,Engineer,1999-08-01,2000-12-27
230316,Senior Staff,2000-06-22,9999-01-01
230316,Staff,1995-06-23,2000-06-22
230324,Engineer,1995-06-28,2000-06-27
230324,Senior Engineer,2000-06-27,9999-01-01
230332,Technique Leader,1998-12-11,9999-01-01
230352,Engineer,1986-06-05,1992-06-04
230352,Senior Engineer,1992-06-04,2000-12-24
230366,Engineer,1989-10-17,1997-05-25
230368,Engineer,1989-11-19,1997-11-19
230368,Senior Engineer,1997-11-19,9999-01-01
230399,Senior Staff,1992-03-03,1998-04-22
230399,Staff,1987-03-04,1992-03-03
230406,Technique Leader,1985-09-26,9999-01-01
230409,Technique Leader,1995-03-12,9999-01-01
230413,Senior Staff,1996-05-28,9999-01-01
230413,Staff,1990-05-29,1996-05-28
230435,Senior Engineer,1993-10-14,9999-01-01
230455,Technique Leader,1998-01-18,9999-01-01
230470,Senior Staff,1999-12-30,9999-01-01
230470,Staff,1990-12-30,1999-12-30
230474,Engineer,1990-07-04,1999-07-04
230474,Senior Engineer,1999-07-04,9999-01-01
230476,Engineer,1988-03-17,1997-03-17
230476,Senior Engineer,1997-03-17,9999-01-01
230491,Senior Staff,1994-12-03,2000-02-14
230494,Engineer,1994-06-27,2000-06-26
230494,Senior Engineer,2000-06-26,9999-01-01
230501,Engineer,1991-07-07,1996-04-22
230505,Engineer,1998-01-20,9999-01-01
230507,Technique Leader,1993-10-23,9999-01-01
230513,Senior Staff,2000-07-10,9999-01-01
230513,Staff,1992-07-10,2000-07-10
230527,Senior Staff,1996-06-15,9999-01-01
230527,Staff,1991-06-16,1996-06-15
230540,Senior Staff,1998-09-22,2000-02-10
230542,Engineer,1996-11-22,9999-01-01
230550,Staff,1995-11-07,1997-02-05
230555,Engineer,1988-06-01,1993-06-01
230555,Senior Engineer,1993-06-01,1993-07-09
230563,Engineer,1990-07-22,1995-07-22
230563,Senior Engineer,1995-07-22,1996-10-20
230568,Engineer,1994-10-07,9999-01-01
230583,Senior Engineer,1994-11-06,9999-01-01
230593,Engineer,1992-05-01,1992-12-10
230597,Staff,1998-05-28,9999-01-01
230609,Senior Staff,1991-07-24,9999-01-01
230609,Staff,1986-07-24,1991-07-24
230618,Senior Staff,1994-08-26,9999-01-01
230626,Senior Staff,2000-01-30,9999-01-01
230626,Staff,1994-01-30,2000-01-30
230633,Senior Engineer,1986-05-02,1998-03-28
230647,Engineer,1996-11-11,9999-01-01
230652,Senior Staff,1999-12-24,9999-01-01
230652,Staff,1992-12-23,1999-12-24
230655,Engineer,1989-11-11,1997-11-11
230655,Senior Engineer,1997-11-11,9999-01-01
230660,Senior Engineer,1994-09-01,9999-01-01
230666,Senior Staff,1999-01-12,9999-01-01
230666,Staff,1994-01-12,1999-01-12
230671,Assistant Engineer,1997-12-16,9999-01-01
230677,Senior Staff,2001-05-06,9999-01-01
230677,Staff,1994-05-06,2001-05-06
230680,Senior Staff,1992-06-09,9999-01-01
230680,Staff,1987-06-10,1992-06-09
230684,Senior Staff,1997-07-25,9999-01-01
230684,Staff,1989-07-25,1997-07-25
230698,Senior Staff,2001-12-18,9999-01-01
230698,Staff,1994-12-18,2001-12-18
230702,Staff,1997-02-11,9999-01-01
230724,Senior Engineer,1990-03-06,9999-01-01
230752,Engineer,1993-05-26,2002-05-26
230752,Senior Engineer,2002-05-26,9999-01-01
230762,Engineer,1992-06-18,1995-07-23
230793,Engineer,1992-11-14,1997-11-14
230793,Senior Engineer,1997-11-14,9999-01-01
230805,Senior Staff,1994-11-17,9999-01-01
230805,Staff,1989-11-17,1994-11-17
230810,Engineer,1990-10-19,1995-11-17
230812,Senior Staff,1999-11-19,9999-01-01
230812,Staff,1990-11-19,1999-11-19
230818,Engineer,1998-01-12,2001-07-06
230820,Engineer,1990-05-19,1998-05-19
230820,Senior Engineer,1998-05-19,2001-06-17
230829,Staff,1995-07-04,1997-12-28
230830,Staff,1999-12-01,9999-01-01
230831,Staff,1994-02-12,9999-01-01
230835,Engineer,1993-05-05,1999-06-29
230837,Assistant Engineer,1990-01-11,1996-01-11
230837,Engineer,1996-01-11,2002-01-10
230837,Senior Engineer,2002-01-10,9999-01-01
230848,Senior Engineer,1986-02-06,9999-01-01
230853,Senior Staff,1998-11-25,9999-01-01
230854,Senior Engineer,1991-07-12,1994-09-23
230862,Engineer,1987-11-21,1996-11-20
230862,Senior Engineer,1996-11-20,9999-01-01
230885,Engineer,1986-07-02,1995-07-02
230885,Senior Engineer,1995-07-02,9999-01-01
230892,Technique Leader,1991-05-31,9999-01-01
230921,Engineer,1998-07-08,9999-01-01
230927,Engineer,1992-04-12,1997-04-12
230927,Senior Engineer,1997-04-12,9999-01-01
230930,Engineer,1986-03-16,1994-03-16
230930,Senior Engineer,1994-03-16,9999-01-01
230933,Technique Leader,1994-11-08,9999-01-01
230955,Senior Staff,1993-02-04,9999-01-01
230955,Staff,1987-02-05,1993-02-04
230971,Senior Staff,1998-02-17,9999-01-01
230971,Staff,1990-02-17,1998-02-17
230973,Senior Staff,1998-08-15,9999-01-01
230973,Staff,1992-08-15,1998-08-15
230975,Engineer,1992-01-08,1998-01-07
230975,Senior Engineer,1998-01-07,9999-01-01
231011,Engineer,1991-06-16,2000-06-15
231011,Senior Engineer,2000-06-15,9999-01-01
231037,Senior Staff,1990-12-17,9999-01-01
231056,Engineer,1997-01-03,9999-01-01
231062,Staff,1998-01-12,9999-01-01
231072,Engineer,1995-11-25,2001-11-24
231072,Senior Engineer,2001-11-24,9999-01-01
231074,Engineer,1993-11-23,1998-11-23
231074,Senior Engineer,1998-11-23,9999-01-01
231093,Senior Staff,1997-01-14,9999-01-01
231096,Senior Staff,1993-03-10,9999-01-01
231096,Staff,1988-03-10,1993-03-10
231098,Assistant Engineer,1987-02-12,1995-02-12
231098,Engineer,1995-02-12,9999-01-01
231106,Engineer,1997-07-13,9999-01-01
231114,Staff,1987-05-20,1990-07-14
231122,Senior Engineer,1986-11-01,9999-01-01
231123,Engineer,1986-09-24,1991-09-24
231123,Senior Engineer,1991-09-24,9999-01-01
231137,Senior Engineer,1997-10-26,9999-01-01
231138,Staff,1999-10-04,9999-01-01
231152,Engineer,1998-03-31,9999-01-01
231154,Engineer,1991-07-03,1996-07-02
231154,Senior Engineer,1996-07-02,9999-01-01
231157,Staff,1999-08-08,9999-01-01
231171,Engineer,1985-09-01,1990-09-01
231171,Senior Engineer,1990-09-01,9999-01-01
231182,Engineer,1997-02-04,2000-04-26
231207,Technique Leader,1987-08-27,9999-01-01
231228,Staff,1999-01-28,9999-01-01
231233,Assistant Engineer,1988-06-20,1994-06-20
231233,Engineer,1994-06-20,2000-06-19
231233,Senior Engineer,2000-06-19,9999-01-01
231255,Senior Staff,2000-07-10,9999-01-01
231255,Staff,1993-07-10,2000-07-10
231264,Senior Staff,1986-02-24,9999-01-01
231280,Technique Leader,1999-06-11,9999-01-01
231292,Senior Staff,2002-03-28,9999-01-01
231292,Staff,1997-03-28,2002-03-28
231296,Engineer,1999-09-16,9999-01-01
231320,Engineer,1990-08-25,1996-08-24
231320,Senior Engineer,1996-08-24,9999-01-01
231337,Senior Engineer,1989-07-24,9999-01-01
231346,Senior Engineer,1995-03-25,9999-01-01
231355,Engineer,1991-03-03,1996-03-02
231355,Senior Engineer,1996-03-02,9999-01-01
231363,Senior Staff,1998-09-20,9999-01-01
231363,Staff,1991-09-20,1998-09-20
231366,Senior Staff,1996-02-19,9999-01-01
231366,Staff,1991-02-19,1996-02-19
231376,Engineer,1996-01-07,2001-01-06
231376,Senior Engineer,2001-01-06,9999-01-01
231396,Engineer,1998-11-15,2000-03-14
231413,Engineer,1993-07-12,1999-07-12
231413,Senior Engineer,1999-07-12,9999-01-01
231430,Senior Staff,1995-02-04,9999-01-01
231430,Staff,1986-02-04,1995-02-04
231455,Engineer,1995-04-06,2000-04-05
231455,Senior Engineer,2000-04-05,9999-01-01
231457,Senior Staff,1996-06-11,9999-01-01
231457,Staff,1991-06-12,1996-06-11
231467,Engineer,1996-07-13,2002-05-13
231470,Senior Staff,2000-12-20,9999-01-01
231470,Staff,1994-12-21,2000-12-20
231473,Senior Engineer,1995-03-28,9999-01-01
231479,Engineer,1996-11-30,9999-01-01
231483,Senior Staff,1996-10-28,1997-07-21
231483,Staff,1987-10-29,1996-10-28
231488,Staff,1999-01-13,2001-06-23
231515,Engineer,1993-05-01,1994-05-09
231522,Engineer,1995-07-12,2000-07-11
231522,Senior Engineer,2000-07-11,9999-01-01
231525,Senior Staff,1999-05-20,9999-01-01
231525,Staff,1991-05-20,1999-05-20
231535,Engineer,1997-05-15,9999-01-01
231566,Senior Staff,1997-09-16,9999-01-01
231566,Staff,1991-09-17,1997-09-16
231567,Engineer,1995-07-28,2001-07-27
231567,Senior Engineer,2001-07-27,9999-01-01
231585,Engineer,1992-12-28,2000-12-28
231585,Senior Engineer,2000-12-28,9999-01-01
231586,Senior Staff,1996-04-09,9999-01-01
231586,Staff,1988-04-09,1996-04-09
231630,Staff,1994-06-01,1998-06-07
231637,Senior Staff,1997-03-30,9999-01-01
231642,Senior Staff,1994-02-16,9999-01-01
231642,Staff,1985-02-16,1994-02-16
231650,Senior Engineer,2000-01-05,9999-01-01
231652,Staff,1999-11-14,9999-01-01
231655,Senior Staff,1991-01-09,9999-01-01
231657,Technique Leader,1995-04-10,9999-01-01
231667,Senior Staff,1998-09-20,9999-01-01
231667,Staff,1993-09-20,1998-09-20
231671,Staff,1995-04-14,9999-01-01
231674,Engineer,1992-12-29,2000-12-29
231674,Senior Engineer,2000-12-29,9999-01-01
231681,Senior Staff,1997-01-29,9999-01-01
231681,Staff,1992-01-30,1997-01-29
231686,Senior Staff,2002-07-24,9999-01-01
231686,Staff,1997-07-24,2002-07-24
231703,Senior Staff,1996-11-25,9999-01-01
231703,Staff,1989-11-25,1996-11-25
231719,Technique Leader,1991-08-27,9999-01-01
231728,Engineer,1988-07-21,1995-07-22
231728,Senior Engineer,1995-07-22,9999-01-01
231730,Engineer,1988-12-04,1993-12-04
231730,Senior Engineer,1993-12-04,9999-01-01
231737,Engineer,1987-12-24,1996-12-23
231737,Senior Engineer,1996-12-23,9999-01-01
231743,Senior Staff,1992-05-26,9999-01-01
231743,Staff,1985-05-26,1992-05-26
231746,Staff,1997-09-12,9999-01-01
231792,Staff,1995-06-26,9999-01-01
231807,Senior Staff,2001-07-31,9999-01-01
231807,Staff,1995-08-01,2001-07-31
231814,Senior Engineer,1997-11-08,9999-01-01
231818,Technique Leader,1996-08-23,9999-01-01
231838,Assistant Engineer,1985-07-06,1994-07-06
231838,Engineer,1994-07-06,9999-01-01
231841,Senior Staff,1998-12-16,9999-01-01
231850,Senior Staff,1997-10-30,1997-11-03
231850,Staff,1992-10-30,1997-10-30
231865,Senior Engineer,1993-05-24,9999-01-01
231866,Engineer,1996-06-05,2001-06-05
231866,Senior Engineer,2001-06-05,9999-01-01
231875,Engineer,1999-01-03,9999-01-01
231879,Engineer,1987-06-11,1996-06-10
231879,Senior Engineer,1996-06-10,9999-01-01
231880,Engineer,1986-04-10,1987-06-09
231884,Senior Staff,1998-06-07,9999-01-01
231884,Staff,1991-06-07,1998-06-07
231890,Senior Staff,1999-03-20,9999-01-01
231890,Staff,1994-03-20,1999-03-20
231908,Staff,1995-12-04,9999-01-01
231910,Senior Engineer,1997-01-28,9999-01-01
231916,Assistant Engineer,1997-07-25,2002-07-25
231916,Engineer,2002-07-25,9999-01-01
231925,Engineer,1994-10-05,1999-10-05
231925,Senior Engineer,1999-10-05,9999-01-01
231974,Senior Staff,1996-05-09,9999-01-01
231974,Staff,1991-05-10,1996-05-09
231975,Engineer,1996-11-14,1998-05-13
232014,Senior Staff,1993-12-26,9999-01-01
232019,Senior Staff,2001-11-22,9999-01-01
232019,Staff,1994-11-22,2001-11-22
232031,Engineer,1987-02-21,1995-02-21
232031,Senior Engineer,1995-02-21,9999-01-01
232038,Engineer,1985-12-02,1991-12-02
232038,Senior Engineer,1991-12-02,9999-01-01
232047,Senior Staff,1997-07-03,9999-01-01
232058,Engineer,1988-05-10,1996-05-10
232058,Senior Engineer,1996-05-10,9999-01-01
232073,Engineer,1986-08-14,1995-08-14
232073,Senior Engineer,1995-08-14,9999-01-01
232087,Engineer,1992-12-25,2001-12-25
232087,Senior Engineer,2001-12-25,9999-01-01
232091,Engineer,1999-09-19,9999-01-01
232095,Engineer,1994-11-05,2001-11-05
232095,Senior Engineer,2001-11-05,9999-01-01
232100,Staff,1992-04-19,1996-08-07
232115,Engineer,1999-04-01,9999-01-01
232129,Engineer,1996-09-04,9999-01-01
232149,Engineer,1988-07-09,1994-07-09
232149,Senior Engineer,1994-07-09,9999-01-01
232160,Engineer,1991-02-10,1997-02-09
232160,Senior Engineer,1997-02-09,9999-01-01
232162,Technique Leader,1989-09-25,9999-01-01
232166,Senior Engineer,1996-11-25,2002-02-01
232179,Senior Engineer,1996-12-20,9999-01-01
232203,Technique Leader,1985-04-28,9999-01-01
232210,Engineer,1986-01-01,1994-01-01
232210,Senior Engineer,1994-01-01,9999-01-01
232233,Senior Staff,2001-04-22,9999-01-01
232233,Staff,1992-04-22,2001-04-22
232234,Senior Staff,1990-05-16,9999-01-01
232234,Staff,1985-05-16,1990-05-16
232245,Engineer,1998-09-20,1999-01-09
232256,Senior Staff,1997-12-30,9999-01-01
232256,Staff,1990-12-30,1997-12-30
232257,Engineer,1991-06-29,1996-06-28
232257,Senior Engineer,1996-06-28,9999-01-01
232273,Senior Staff,1996-06-19,9999-01-01
232273,Staff,1990-06-20,1996-06-19
232290,Engineer,1995-03-28,9999-01-01
232294,Engineer,1986-05-25,1992-05-24
232294,Senior Engineer,1992-05-24,9999-01-01
232342,Engineer,1991-06-13,1998-06-13
232342,Senior Engineer,1998-06-13,9999-01-01
232343,Senior Staff,1999-08-16,9999-01-01
232343,Staff,1992-08-15,1999-08-16
232349,Staff,1998-05-24,1999-05-09
232364,Staff,1999-04-18,9999-01-01
232367,Engineer,1997-06-24,9999-01-01
232371,Engineer,1990-08-01,1997-08-01
232371,Senior Engineer,1997-08-01,2000-03-22
232381,Senior Staff,2000-07-06,9999-01-01
232381,Staff,1993-07-06,2000-07-06
232399,Engineer,1992-08-10,2000-08-10
232399,Senior Engineer,2000-08-10,9999-01-01
232410,Staff,1995-11-20,9999-01-01
232414,Senior Staff,1995-08-05,9999-01-01
232417,Engineer,1987-06-08,1991-11-01
232438,Staff,1999-09-12,9999-01-01
232445,Staff,1996-09-23,9999-01-01
232454,Staff,1994-10-26,1995-07-17
232461,Staff,1995-10-17,9999-01-01
232474,Senior Staff,1998-01-23,9999-01-01
232474,Staff,1991-01-23,1998-01-23
232486,Senior Staff,1998-06-19,9999-01-01
232486,Staff,1991-06-19,1998-06-19
232502,Staff,1992-10-23,1996-10-02
232520,Assistant Engineer,1996-09-09,1998-12-22
232543,Senior Staff,1987-10-27,9999-01-01
232566,Senior Engineer,1993-04-30,9999-01-01
232571,Engineer,1991-01-26,1999-01-26
232571,Senior Engineer,1999-01-26,9999-01-01
232581,Engineer,1996-01-22,2002-01-21
232581,Senior Engineer,2002-01-21,9999-01-01
232607,Senior Engineer,1987-10-10,1994-09-02
232617,Senior Staff,1998-11-25,9999-01-01
232617,Staff,1990-11-25,1998-11-25
232620,Engineer,1991-09-28,1996-09-27
232620,Senior Engineer,1996-09-27,9999-01-01
232633,Senior Staff,1999-03-20,9999-01-01
232637,Assistant Engineer,1985-09-02,1990-09-02
232637,Engineer,1990-09-02,1995-09-02
232637,Senior Engineer,1995-09-02,9999-01-01
232657,Senior Staff,1997-01-17,9999-01-01
232657,Staff,1992-01-18,1997-01-17
232670,Engineer,1999-12-13,9999-01-01
232684,Senior Engineer,1993-08-31,9999-01-01
232688,Engineer,1987-06-28,1993-06-27
232688,Senior Engineer,1993-06-27,9999-01-01
232715,Engineer,1994-07-27,1999-07-27
232715,Senior Engineer,1999-07-27,9999-01-01
232730,Technique Leader,1987-12-29,9999-01-01
232746,Assistant Engineer,1997-04-21,9999-01-01
232750,Senior Staff,1987-04-12,9999-01-01
232756,Engineer,1998-05-22,2000-08-26
232768,Staff,1997-12-22,9999-01-01
232782,Engineer,1989-04-30,1995-04-30
232782,Senior Engineer,1995-04-30,9999-01-01
232817,Senior Staff,1997-05-05,9999-01-01
232817,Staff,1992-05-05,1997-05-05
232820,Senior Engineer,1994-10-09,1998-12-01
232846,Engineer,1987-01-31,1992-01-31
232846,Senior Engineer,1992-01-31,2000-11-12
232850,Engineer,1986-08-25,1994-08-25
232850,Senior Engineer,1994-08-25,9999-01-01
232853,Staff,1988-04-13,1996-12-30
232879,Senior Staff,2001-07-30,9999-01-01
232879,Staff,1993-07-30,2001-07-30
232881,Senior Engineer,1985-09-30,1987-01-02
232906,Engineer,1999-01-20,9999-01-01
232907,Senior Staff,1991-12-06,9999-01-01
232907,Staff,1986-12-06,1991-12-06
232936,Engineer,1988-01-22,1997-01-21
232936,Senior Engineer,1997-01-21,9999-01-01
232953,Assistant Engineer,1988-08-12,1996-08-12
232953,Engineer,1996-08-12,9999-01-01
232966,Senior Staff,2000-02-08,9999-01-01
232966,Staff,1995-02-08,2000-02-08
232992,Engineer,1997-03-10,9999-01-01
233025,Senior Staff,1997-03-31,1997-08-02
233025,Staff,1992-03-31,1997-03-31
233041,Technique Leader,1993-07-17,1999-01-13
233057,Engineer,1996-08-30,9999-01-01
233068,Staff,2000-01-02,9999-01-01
233113,Staff,1998-06-08,9999-01-01
233125,Senior Engineer,1989-11-03,9999-01-01
233130,Senior Engineer,1988-04-22,2002-01-01
233135,Senior Staff,2000-12-29,9999-01-01
233135,Staff,1995-12-30,2000-12-29
233141,Senior Staff,1995-11-08,9999-01-01
233141,Staff,1989-11-08,1995-11-08
233153,Staff,1995-12-05,1996-05-16
233156,Senior Staff,1993-01-05,9999-01-01
233158,Engineer,1989-10-22,1994-10-22
233158,Senior Engineer,1994-10-22,9999-01-01
233159,Senior Engineer,1998-09-24,2001-01-28
233166,Engineer,1988-11-15,1993-11-15
233166,Senior Engineer,1993-11-15,9999-01-01
233168,Engineer,1998-05-04,9999-01-01
233192,Engineer,1998-09-30,2001-10-19
233211,Engineer,1992-03-15,1997-03-15
233211,Senior Engineer,1997-03-15,9999-01-01
233218,Assistant Engineer,1998-05-21,9999-01-01
233229,Senior Staff,1993-03-09,9999-01-01
233229,Staff,1987-03-10,1993-03-09
233245,Senior Engineer,1985-02-03,9999-01-01
233260,Senior Staff,1986-07-29,9999-01-01
233267,Engineer,1986-03-21,1991-03-21
233267,Senior Engineer,1991-03-21,9999-01-01
233281,Engineer,1997-02-27,1998-05-24
233291,Engineer,1990-04-11,1999-04-11
233291,Senior Engineer,1999-04-11,9999-01-01
233308,Staff,1997-04-24,1997-11-27
233315,Senior Engineer,1994-09-13,9999-01-01
233327,Senior Staff,1999-12-11,9999-01-01
233341,Senior Staff,1993-11-13,9999-01-01
233343,Engineer,1993-10-25,2001-10-25
233343,Senior Engineer,2001-10-25,9999-01-01
233347,Assistant Engineer,1996-12-18,9999-01-01
233395,Engineer,1998-02-22,9999-01-01
233429,Engineer,1992-02-27,1997-02-26
233429,Senior Engineer,1997-02-26,9999-01-01
233436,Engineer,1988-06-09,1995-06-10
233436,Senior Engineer,1995-06-10,9999-01-01
233444,Senior Staff,2002-02-09,9999-01-01
233444,Staff,1995-02-09,2002-02-09
233451,Assistant Engineer,1987-08-22,1994-08-22
233451,Engineer,1994-08-22,2001-08-22
233451,Senior Engineer,2001-08-22,9999-01-01
233458,Senior Staff,1993-01-19,9999-01-01
233458,Staff,1987-01-20,1993-01-19
233463,Staff,1999-06-10,2000-09-12
233471,Engineer,1994-06-18,1999-06-18
233471,Senior Engineer,1999-06-18,9999-01-01
233478,Engineer,1999-05-02,9999-01-01
233492,Senior Staff,1996-09-15,1998-09-21
233506,Engineer,1995-05-04,1997-06-29
233539,Staff,1998-02-07,9999-01-01
233550,Senior Engineer,1991-10-29,1992-05-20
233565,Senior Staff,1998-01-01,9999-01-01
233565,Staff,1992-01-02,1998-01-01
233576,Senior Staff,1997-08-12,9999-01-01
233576,Staff,1992-08-12,1997-08-12
233577,Staff,1996-03-09,9999-01-01
233578,Assistant Engineer,1999-06-03,9999-01-01
233592,Engineer,1995-05-03,2002-05-03
233592,Senior Engineer,2002-05-03,9999-01-01
233593,Assistant Engineer,1994-10-25,1998-07-07
233623,Engineer,1985-04-29,1993-04-29
233623,Senior Engineer,1993-04-29,9999-01-01
233677,Staff,1995-04-10,9999-01-01
233689,Senior Engineer,2000-01-17,9999-01-01
233705,Staff,1998-02-02,9999-01-01
233710,Engineer,1989-12-04,1998-12-04
233710,Senior Engineer,1998-12-04,9999-01-01
233713,Engineer,1986-07-17,1993-07-17
233713,Senior Engineer,1993-07-17,9999-01-01
233714,Staff,1996-11-07,9999-01-01
233717,Engineer,1987-04-30,1995-04-30
233717,Senior Engineer,1995-04-30,9999-01-01
233727,Engineer,1990-09-12,1997-09-12
233727,Senior Engineer,1997-09-12,2001-09-11
233728,Senior Staff,1998-07-22,9999-01-01
233728,Staff,1990-07-22,1998-07-22
233738,Engineer,1986-06-15,1991-06-15
233738,Senior Engineer,1991-06-15,9999-01-01
233740,Technique Leader,1994-10-02,9999-01-01
233744,Engineer,1988-06-18,1994-06-18
233744,Senior Engineer,1994-06-18,9999-01-01
233748,Senior Staff,2002-02-06,9999-01-01
233748,Staff,1995-02-06,2002-02-06
233755,Senior Engineer,1987-04-21,9999-01-01
233756,Engineer,1989-05-21,1994-05-21
233756,Senior Engineer,1994-05-21,9999-01-01
233758,Senior Engineer,1988-01-25,9999-01-01
233760,Technique Leader,1985-05-25,9999-01-01
233785,Senior Staff,1995-07-28,9999-01-01
233785,Staff,1987-07-28,1995-07-28
233798,Engineer,1986-08-08,1992-08-07
233798,Senior Engineer,1992-08-07,9999-01-01
233821,Engineer,1985-04-17,1990-04-17
233821,Senior Engineer,1990-04-17,9999-01-01
233833,Senior Engineer,1989-10-05,9999-01-01
233847,Senior Staff,1995-10-20,9999-01-01
233847,Staff,1986-10-20,1995-10-20
233858,Engineer,1986-07-06,1995-07-06
233858,Senior Engineer,1995-07-06,9999-01-01
233873,Engineer,1987-10-18,1993-10-17
233873,Senior Engineer,1993-10-17,9999-01-01
233883,Engineer,1995-11-11,2001-11-10
233883,Senior Engineer,2001-11-10,9999-01-01
233892,Engineer,1997-09-01,9999-01-01
233905,Senior Staff,1989-08-24,9999-01-01
233918,Senior Staff,1996-09-15,9999-01-01
233920,Engineer,1993-08-12,2001-08-12
233920,Senior Engineer,2001-08-12,9999-01-01
233926,Engineer,1996-06-21,2000-07-19
233935,Engineer,1996-10-12,2000-02-13
233937,Staff,1992-09-08,1997-08-03
233968,Engineer,1990-09-28,1997-09-28
233968,Senior Engineer,1997-09-28,9999-01-01
233994,Engineer,1996-07-04,9999-01-01
233997,Staff,1994-11-18,9999-01-01
234009,Senior Staff,1992-05-17,9999-01-01
234012,Staff,1995-02-18,1995-11-17
234037,Engineer,1993-03-21,1998-03-21
234037,Senior Engineer,1998-03-21,9999-01-01
234039,Staff,1999-09-13,2000-01-15
234050,Engineer,1999-09-25,9999-01-01
234076,Engineer,1997-02-10,9999-01-01
234080,Engineer,1995-10-08,9999-01-01
234096,Engineer,1995-08-17,9999-01-01
234115,Engineer,1990-05-22,1999-05-22
234115,Senior Engineer,1999-05-22,9999-01-01
234118,Senior Staff,1989-04-23,9999-01-01
234128,Senior Staff,1993-06-19,9999-01-01
234137,Senior Engineer,1997-10-07,9999-01-01
234139,Engineer,1999-04-10,9999-01-01
